"标记","id","角色ID","角色","位置","台词","下一句","背景","音效","自身动作","目标位置","目标动作","屏幕效果","bgmName"
"#","0","2","【ADN-1】","右","【胜利的高音滴滴声】","1","0","Victory","跳动","","","白闪","Thinking"
"#","1","0","【派派】","右","过了！！！！小鬼你真的过了！！！我们能出去了！！！","2","0","","入场","","","",""
"#","2","3","【希】","左","编译通过……没有错误……没有警告……输出符合预期……","3","0","","入场","","","",""
"#","3","1","【嘉斯林】","右","你做到了。而且是完全靠自己做到的。","4","0","","入场","","","",""
"#","4","","【我】","中","这就是最后一个数据包？一只猫？","5","0","","","","","",""
"#","5","1","【嘉斯林】","右","数据回收完毕。代码世界的核心崩溃已经停止了。世界正在重建，我们离开这个鬼地方吧。","6","0","","","","","",""
"#","6","3","【希】","左","我的姐妹……C和C#……她们的信号变强了……虽然还很远……但不再被噪声覆盖……能ping到了……","7","0","","","","","",""
"#","7","0","【派派】","右","意思是她们有可能被找回来？！","8","0","","跳动","","","",""
"#","8","3","【希】","左","有可能……她们可能被卷到了更深的底层……需要更多次的遍历和寻址……但方向是对的……","9","0","","","","","",""
"#","9","","【我】","中","也就是说，你们接下来还要继续去找她们？","10","0","","","","","",""
"#","10","1","【嘉斯林】","右","对。但先要送你回去——你已经在代码世界待太久了。","11","0","","","","","",""
"#","11","0","【派派】","右","喂小鬼，回去之后记得几件事：第一，不准再把作业全丢给AI；第二，写代码的时候要注意缩进，听到没！","12","0","","抖动","","","",""
"#","12","3","【希】","左","第三……写出代码后要测试……段错误不会因为你不看就不存在……大概。","13","0","","","","","",""
"#","13","1","【嘉斯林】","右","第四，代码不只是跑给机器看的，也是给人看的。","14","0","","","","","",""
"#","14","","【我】","中","还有第五——遇到问题先自己思考，不行再求助。","15","0","","","","","",""
"#","15","0","【派派】","右","哈？你居然还会抢答了！","16","0","","跳动","","","",""
"#","16","","【我】","中","是你们教会我的。对了……ADN-1呢？","17","0","","","","","",""
"#","17","3","【希】","左","它会留在代码世界……我有新的关卡需要它……ADN-1……很好用……","18","0","","","","","",""
"#","18","1","【嘉斯林】","右","我们可以用它去找其他走散的编程语言姐妹。Rust、Go、JavaScript……她们还在更深处。","19","0","","","","","",""
"#","19","0","【派派】","右","别舍不得了，撒什么娇，我见证了五关！你从头到尾全靠自己过去的，不要怀疑！","20","0","","抖动","","","",""
"#","20","","【我】","中","我没有怀疑。我只是想谢谢你们。","21","0","","","","","",""
"#","21","","【我】","中","还会再见面吗？","22","0","","","","","",""
"#","22","3","【希】","左","当你写下一段自己的代码——我们就见面。不是在梦里——是在你的编辑器里。你写Python，派派会出现；你写Java，嘉斯林会出现；你写C++——","23","0","","","","","",""
"#","23","","【我】","中","你会出现。","24","0","","","","","",""
"#","24","3","【希】","左","我会出现。带着我的姐妹一起。","25","0","","","","","",""
"#","25","1","【嘉斯林】","右","代码世界会慢慢修复。你写下的每一行不是AI生成的代码，都是修复这个世界的一块砖。","26","0","","","","","",""
"#","26","0","【派派】","右","所以，别看AI了。看你的键盘，我们明天见。","27","0","","跳动","","","",""
"#","27","","【旁白】","中","尾声：","28","0","","","左","退场","白闪",""
"#","28","","【旁白】","中","光线刺眼。我睁开眼睛，趴在书桌上。电脑屏幕亮着，光标在AI对话框里闪烁，最后一条记录是六个小时前我拖进去的需求文档。AI已经吐完了所有代码，整整齐齐地摊在另一个窗口里。","29","0","","","右","退场","",""
"#","29","","【我】","中","……六个小时。梦？","30","0","","","","","",""
"#","30","","【旁白】","中","我坐起身，揉揉发麻的手臂。屏幕上AI生成的代码安静地等在原地。","31","0","","","","","",""
"#","31","","【旁白】","中","我盯着代码看了十秒钟。","32","0","","","","","",""
"#","32","","【我】","中","缩进一团乱麻，异常处理没有，这段——这段直接空指针了吧。","33","0","","","","","",""
"#","33","","【旁白】","中","我按下Ctrl+A，然后按了Delete。AI生成的代码全部消失，屏幕只留下一个空白的编辑器页面。光标在第一行闪烁，等待输入。","34","0","","","","","",""
"#","34","","【我】","中","好。从int main开始写吧。","35","0","","","","","",""
"#","35","","【旁白】","中","手指放到键盘上。第一个字符敲下去的时候，屏幕右下角似乎有一道浅蓝色的光闪了一下。也可能是屏幕本身的色差。但不管怎样——它闪得像是有人在那里眨了一下眼，在说：这次写你自己的代码吧，小鬼。","36","0","","","","","",""
"#","36","","【旁白】","中","小剧场：","37","0","","","","","",""
"#","37","0","【派派（Q版）】","左","这次布局比刚才好点。但你别以为本小姐在夸你！我只是在客观评价！","38","0","","入场","","","",""
"#","38","3","【希（Q版）】","右","你的手指……在拖框的时候没有抖……地址偏移量在减小……接近最优解……但还是要自己点开始……","39","0","","入场","","","",""
"#","39","1","【嘉斯林（Q版）】","右","这次放得对。不，我不会告诉你对不对，你得自己确认。确认完了就点开始。","40","0","","入场","","","",""
"#","40","","【旁白】","中","终幕小剧场：","41","0","","","右","退场","",""
"#","41","0","【派派（Q版）】","左","int main的括号都打对了……哼，本小姐教的缩进可算记住了。不过下次最好多写几行，别光写个Hello World糊弄我！","42","0","","跳动","","","",""
"#","42","3","【希（Q版）】","右","他能自己初始化指针了……C和C#说看到了……她们说下次编译的时候想过来围观……大概……","43","0","","入场","","","",""
"#","43","1","【嘉斯林（Q版）】","右","围观可以，别在他编译到一半的时候指指点点。代码需要安静的生长空间——像一颗豆子。可靠的、健壮的、每次浇水都不会枯死的豆子。","end","0","","入场","","","",""
