"标记","id","角色ID","角色","位置","台词","下一句","背景","音效","自身动作","目标位置","目标动作","屏幕效果","bgmName"
"#","0","","【我】","中","好危险……那些悬在半空的是什么？","1","0","","","","","","Thinking"
"#","1","3","【希】","右","遗弃的代码……被注释掉的梦想……永远等待返回值的函数调用……还有循环了无数次的while(true)……","2","0","","入场","","","",""
"#","2","0","【派派】","左","画面也太阴间了！这地方比我的包管理冲突看起来还可怕！","3","0","","入场","","","",""
"#","3","1","【嘉斯林】","右","这是代码世界的底层——很多程序员的半成品、被放弃的项目、写到一半删掉的函数，最后都流到这里。","4","0","","入场","","","",""
"#","4","","【我】","中","所以我们要过去？","5","0","","","","","",""
"#","5","1","【嘉斯林】","右","要过去。但最后一关不是我们带你过去，是你自己过去。","6","0","","","","","",""
"#","6","","【我】","中","什么意思？","7","0","","","","","",""
"#","7","0","【派派】","左","就是字面意思！我们三个的框还是会给你，框的能力照旧——我的显形、嘉斯林姐的反重力、希的加速——但怎么放、放什么顺序、放多大尺寸，我们一个字都不说。","8","0","","跳动","","","",""
"#","8","3","【希】","右","这是你的编译……你的执行……我们只是提供标准库……不负责写main函数……","9","0","","","","","",""
"#","9","","【我】","中","也就是说我得完全自己规划路线？","10","0","","","","","",""
"#","10","1","【嘉斯林】","右","对。就像你回到现实世界之后，没有人替你写代码一样。","11","0","","","","","",""
"#","11","","【我】","中","可是——我现在真的能独立做到吗？","12","0","","","","","",""
"#","12","0","【派派】","左","你要说不能我现在就把你的车推下去。快说能。","13","0","","抖动","","","",""
"#","13","","【我】","中","……我试试。","14","0","","","","","",""
"#","14","0","【派派】","左","说“能”！！","15","0","","重攻击","","","",""
"#","15","","【我】","中","嗯，我能。","16","0","","","","","",""
"#","16","2","【ADN-1】","右","【短促坚定的滴滴声】","end","0","","跳动","","","",""
